Race/ethnicity,Year,"Rate per 1,000"
"White, non-Hispanic",2000,15.8
"White, non-Hispanic",2001,14
"White, non-Hispanic",2002,13.1
"White, non-Hispanic",2003,12.4
"White, non-Hispanic",2004,12
"White, non-Hispanic",2005,11.5
"White, non-Hispanic",2006,11.8
"White, non-Hispanic",2007,11.9
"White, non-Hispanic",2008,11.6
"White, non-Hispanic",2009,11
"White, non-Hispanic",2010,10
"White, non-Hispanic",2011,9
"White, non-Hispanic",2012,8.4
"Black, non-Hispanic",2000,50.1
"Black, non-Hispanic",2001,44.8
"Black, non-Hispanic",2002,40.6
"Black, non-Hispanic",2003,38.2
"Black, non-Hispanic",2004,36.4
"Black, non-Hispanic",2005,34.1
"Black, non-Hispanic",2006,35.2
"Black, non-Hispanic",2007,34.6
"Black, non-Hispanic",2008,33.6
"Black, non-Hispanic",2009,31
"Black, non-Hispanic",2010,27.4
"Black, non-Hispanic",2011,24.6
"Black, non-Hispanic",2012,21.9
Hispanic,2000,55.5
Hispanic,2001,51.9
Hispanic,2002,49.3
Hispanic,2003,47.6
Hispanic,2004,47.3
Hispanic,2005,45.8
Hispanic,2006,45.1
Hispanic,2007,44.4
Hispanic,2008,42.2
Hispanic,2009,37.3
Hispanic,2010,32.3
Hispanic,2011,28
Hispanic,2012,25.5
American Indian/Alaska Native,2000,34.1
American Indian/Alaska Native,2001,30.2
American Indian/Alaska Native,2002,28.8
American Indian/Alaska Native,2003,27.9
American Indian/Alaska Native,2004,26.7
American Indian/Alaska Native,2005,26.3
American Indian/Alaska Native,2006,25.9
American Indian/Alaska Native,2007,26.1
American Indian/Alaska Native,2008,25.8
American Indian/Alaska Native,2009,23.6
American Indian/Alaska Native,2010,20.1
American Indian/Alaska Native,2011,18.2
American Indian/Alaska Native,2012,17
Asian and Pacific Islander,2000,11.6
Asian and Pacific Islander,2001,10.1
Asian and Pacific Islander,2002,8.8
Asian and Pacific Islander,2003,8.5
Asian and Pacific Islander,2004,8.4
Asian and Pacific Islander,2005,7.7
Asian and Pacific Islander,2006,8.2
Asian and Pacific Islander,2007,7.4
Asian and Pacific Islander,2008,7
Asian and Pacific Islander,2009,6.3
Asian and Pacific Islander,2010,5.1
Asian and Pacific Islander,2011,4.6
Asian and Pacific Islander,2012,4.1
