Characteristic,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"White, non-Hispanic Male",51.2,51.2,51.4,51.3,51.2,51.4,51.2,51.4,51.2,51.2,51.3,51.4,51.3
"White, non-Hispanic Female",48.8,48.8,48.6,48.7,48.8,48.6,48.8,48.6,48.8,48.8,48.7,48.6,48.7
"Black, non-Hispanic  Male",50.7,50.7,50.9,50.8,51.0,50.7,51.1,50.9,50.7,51.0,51.0,51.0,50.8
"Black, non-Hispanic  Female",49.3,49.3,49.1,49.2,49.0,49.3,48.9,49.1,49.3,49.0,49.0,49.0,49.2
Hispanic Male,51.1,50.9,50.9,51.1,51.0,51.2,51.2,51.0,51.1,51.1,50.9,51.0,50.9
Hispanic Female,48.9,49.1,49.1,48.9,49.0,48.8,48.8,49.0,48.9,48.9,49.1,49.0,49.1
American Indian/Alaska Native Male,51.4,50.7,50.3,51.0,50.5,50.1,50.9,51.2,51.1,50.8,50.9,50.8,50.7
American Indian/Alaska Native Female,48.6,49.3,49.7,49.0,49.5,49.9,49.1,48.8,48.9,49.2,49.1,49.2,49.3
Asian and Pacific Islander Male,51.8,52.0,51.3,51.0,51.3,51.3,51.3,50.7,51.2,51.3,51.6,51.1,51.4
Asian and Pacific Islander Female,48.2,48.0,48.7,49.0,48.7,48.7,48.7,49.3,48.8,48.7,48.4,48.9,48.6
