Characteristic,Sex,Race/Ethnicity,Age,Year,Percentage,Standard Error on Percentage,Note on Percentages
Total - Age 0-17,,,0-17,2002,16.7,0.3,
Total - Age 0-17,,,0-17,2003,17.6,0.3,
Total - Age 0-17,,,0-17,2004,17.8,0.3,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
Total - Age 0-17,,,0-17,2005,17.6,0.3,
Total - Age 0-17,,,0-17,2006,17.4,0.3,
Total - Age 0-17,,,0-17,2007,18,0.3,
Total - Age 0-17,,,0-17,2008,19,0.3,
Total - Age 0-17,,,0-17,2009,20.7,0.3,
Total - Age 0-17,,,0-17,2010,22,0.3,Implementation of Census 2010-based population controls.
Total - Age 0-17,,,0-17,2011,21.9,0.3,
Total - Age 0-17,,,0-17,2012,21.8,0.3,
"Total - White alone, non-Hispanic, Age 0-17",,"White alone, non-Hispanic",0-17,2002,9.4,0.3,
"Total - White alone, non-Hispanic, Age 0-17",,"White alone, non-Hispanic",0-17,2003,9.8,0.3,
"Total - White alone, non-Hispanic, Age 0-17",,"White alone, non-Hispanic",0-17,2004,10.5,0.3,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - White alone, non-Hispanic, Age 0-17",,"White alone, non-Hispanic",0-17,2005,10,0.3,
"Total - White alone, non-Hispanic, Age 0-17",,"White alone, non-Hispanic",0-17,2006,10,0.3,
"Total - White alone, non-Hispanic, Age 0-17",,"White alone, non-Hispanic",0-17,2007,10.1,0.3,
"Total - White alone, non-Hispanic, Age 0-17",,"White alone, non-Hispanic",0-17,2008,10.6,0.3,
"Total - White alone, non-Hispanic, Age 0-17",,"White alone, non-Hispanic",0-17,2009,11.8,0.3,
"Total - White alone, non-Hispanic, Age 0-17",,"White alone, non-Hispanic",0-17,2010,12.3,0.3,Implementation of Census 2010-based population controls.
"Total - White alone, non-Hispanic, Age 0-17",,"White alone, non-Hispanic",0-17,2011,12.5,0.3,
"Total - White alone, non-Hispanic, Age 0-17",,"White alone, non-Hispanic",0-17,2012,12.3,0.3,
"Total - Black or African American alone, non-Hispanic, Age 0-17",,"Black or African American alone, non-Hispanic",0-17,2002,32.3,0.9,
"Total - Black or African American alone, non-Hispanic, Age 0-17",,"Black or African American alone, non-Hispanic",0-17,2003,34,0.9,
"Total - Black or African American alone, non-Hispanic, Age 0-17",,"Black or African American alone, non-Hispanic",0-17,2004,33.7,0.9,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Black or African American alone, non-Hispanic, Age 0-17",,"Black or African American alone, non-Hispanic",0-17,2005,34.5,0.9,
"Total - Black or African American alone, non-Hispanic, Age 0-17",,"Black or African American alone, non-Hispanic",0-17,2006,33.3,0.9,
"Total - Black or African American alone, non-Hispanic, Age 0-17",,"Black or African American alone, non-Hispanic",0-17,2007,34.4,0.9,
"Total - Black or African American alone, non-Hispanic, Age 0-17",,"Black or African American alone, non-Hispanic",0-17,2008,34.7,0.9,
"Total - Black or African American alone, non-Hispanic, Age 0-17",,"Black or African American alone, non-Hispanic",0-17,2009,35.5,0.9,
"Total - Black or African American alone, non-Hispanic, Age 0-17",,"Black or African American alone, non-Hispanic",0-17,2010,39.1,1,Implementation of Census 2010-based population controls.
"Total - Black or African American alone, non-Hispanic, Age 0-17",,"Black or African American alone, non-Hispanic",0-17,2011,38.8,1,
"Total - Black or African American alone, non-Hispanic, Age 0-17",,"Black or African American alone, non-Hispanic",0-17,2012,38.4,1,
"Total - Asian alone, non-Hispanic, Age 0-17",,"Asian alone, non-Hispanic",0-17,2002,11.7,1.4,
"Total - Asian alone, non-Hispanic, Age 0-17",,"Asian alone, non-Hispanic",0-17,2003,12.1,1.3,
"Total - Asian alone, non-Hispanic, Age 0-17",,"Asian alone, non-Hispanic",0-17,2004,9.7,1.1,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Asian alone, non-Hispanic, Age 0-17",,"Asian alone, non-Hispanic",0-17,2005,11.1,1.2,
"Total - Asian alone, non-Hispanic, Age 0-17",,"Asian alone, non-Hispanic",0-17,2006,11.9,1.2,
"Total - Asian alone, non-Hispanic, Age 0-17",,"Asian alone, non-Hispanic",0-17,2007,12.6,1.2,
"Total - Asian alone, non-Hispanic, Age 0-17",,"Asian alone, non-Hispanic",0-17,2008,14.5,1.3,
"Total - Asian alone, non-Hispanic, Age 0-17",,"Asian alone, non-Hispanic",0-17,2009,14.2,1.2,
"Total - Asian alone, non-Hispanic, Age 0-17",,"Asian alone, non-Hispanic",0-17,2010,14,1.2,Implementation of Census 2010-based population controls.
"Total - Asian alone, non-Hispanic, Age 0-17",,"Asian alone, non-Hispanic",0-17,2011,13.3,1.2,
"Total - Asian alone, non-Hispanic, Age 0-17",,"Asian alone, non-Hispanic",0-17,2012,13.1,1.2,
"Total - Other, non-Hispanic, Age 0-17",,"Other, non-Hispanic",0-17,2002,19,1.8,
"Total - Other, non-Hispanic, Age 0-17",,"Other, non-Hispanic",0-17,2003,20.6,1.6,
"Total - Other, non-Hispanic, Age 0-17",,"Other, non-Hispanic",0-17,2004,20.7,1.6,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Other, non-Hispanic, Age 0-17",,"Other, non-Hispanic",0-17,2005,18.9,1.6,
"Total - Other, non-Hispanic, Age 0-17",,"Other, non-Hispanic",0-17,2006,22.4,1.6,
