Characteristic,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,,
Total,"5,019,760","4,420,020","3,998,780","4,203,810","3,644,200","3,571,030","4,560,430","3,666,690","3,444,660","3,131,610","2,763,860","2,965,030","3,515,430",,
   Violent crime - Sex of head of household: Male,"2,449,160","1,995,960","1,598,190","1,791,200","1,660,750","1,414,590","1,827,930","1,403,200","1,216,550","1,068,740","927,400","1,074,090","1,278,190",,
  Violent crime - Sex of head of household: Female,"2,570,600","2,424,060","2,400,580","2,412,610","1,983,450","2,156,440","2,732,510","2,263,490","2,228,110","2,062,870","1,836,460","1,890,940","2,237,230",,
"   Violent crime - Race/ethnicity of head of household: White, non-Hispanic","3,287,240","2,808,030","2,590,780","2,641,580","2,427,630","2,077,390","2,612,360","2,227,180","2,054,040","1,789,420","1,553,890","1,672,780","1,911,060",,
"   Violent crime - Race/ethnicity of head of household: Black, non-Hispanic","810,070","706,520","712,610","599,790","580,630","588,490","939,290","565,940","594,940","588,240","566,830","470,200","625,880",,
   Violent crime - Race/ethnicity of head of household: Hispanic,"780,440","749,590","593,470","719,130","503,800","708,850","734,500","715,400","585,160","587,650","544,640","694,730","782,680",,
"   Violent crime - Race/ethnicity of head of household: American Indian or Alaska Native, non-Hispanic","79,610","51,980","49,870","25,270","34,380","18,930","70,590","57,830","22,390","39,940","19,190","28,720","43,270",,
"  Violent crime - Race/ethnicity of head of household: Asian or Pacific Islander, non-Hispanic","62,390","103,900","52,060","78,230","49,320","46,380","63,160","29,550","112,900","34,120","46,040","26,260","95,490",,
"   Violent crime - Race/ethnicity of head of household: Two or more races, non-Hispanic",not available,not available,not available,"139,810","48,440","131,000","140,520","70,800","75,230","92,230","33,270","72,340","57,050",,
"   Violent crime - Male head of household: White, non-Hispanic","1,868,830","1,410,800","1,121,580","1,198,070","1,241,850","842,280","1,125,190","948,650","808,840","625,030","541,220","667,370","791,020",,
"  Violent crime - Male head of household: Black, non-Hispanic","156,410","165,760","114,890","139,480","147,410","154,560","310,610","93,650","102,990","161,290","136,700","107,970","148,860",,
   Violent crime - Male head of household: Hispanic,"335,640","355,050","314,950","345,370","217,790","338,690","254,190","319,640","248,720","223,020","214,610","238,960","258,910",, 
"   Violent crime - Male head of household: American Indian or Alaska Native, non-Hispanic","47,320","18,160","12,650","8,210","8,970","5,300","47,170","2,840","12,570","15,800",reporting standards not met,"14,060","9,940",,
